ad_id,x_value,y_value
c_z1z1*,3.725206283575723,-17.390284136494344
c_z1z1*,2.339052197639471,-9.369042154068739
c_z1z1*,1.6931494111839536,-5.904665418216746
c_z1z1*,1.3229836361805298,-3.994116262960171
c_z1z1*,1.1054042523344199,-2.778996637326294
c_z1z1*,0.9200599972091267,-1.9292268415899616
c_z1z1*,7.321047545792872,-40.289514314004506
c_z1z1*,4.582882007737904,-23.079279874199482
c_z1z1*,3.3066761906952387,-15.689965386194512
c_z1z1*,2.604715343974309,-11.584878683515445
c_z1z1*,2.1443363754267906,-9.187425874955206
c_z1z1*,1.8274546548968882,-7.510710072051204
c_z1z1*,3.7236163080947478,-17.353906868722852
c_z1z1*,2.321201859050973,-9.609507908012127
c_z1z1*,1.6857509887870323,-6.36124858894844
c_z1z1*,1.3378621724761117,-4.667138959429156
c_z1z1*,1.0910881661004481,-3.7169705698211586
c_z1z1*,0.937893918759156,-3.0713506303183244
c_z1z1*,7.340893898187328,-39.18972796940419
c_z1z1*,4.580999619680176,-22.79662863207372
c_z1z1*,3.3146972215561834,-15.243625471361586
c_z1z1*,2.5958802937212098,-11.084616733032888
c_z1z1*,2.1678583876317092,-8.681934888202498
c_z1z1*,1.837197948729514,-6.948176865497288
c_z1θ1*,3.745620637094617,-11.245842018157802
c_z1θ1*,2.3235335707242317,-4.368962759422109
c_z1θ1*,1.6915669573705734,-2.171128355196001
c_z1θ1*,1.3236189834930485,-0.7877670320262253
c_z1θ1*,1.1030309806706404,-0.37138496637415186
c_z1θ1*,0.9482593194529337,0.0008126752857426124
c_z1θ1*,7.322947729330311,-37.125947367955334
c_z1θ1*,4.571642424372714,-19.108227753202932
c_z1θ1*,3.3101949182323676,-10.894782962095707
c_z1θ1*,2.6043056837149674,-6.50714197508942
c_z1θ1*,2.162932992815836,-4.033018354664
c_z1θ1*,1.8251602350521747,-2.6047441086106566
c_z1θ1*,7.334843030188011,-29.541121186227446
c_z1θ1*,4.58526077197,-15.15094713147834
c_z1θ1*,3.308517488597384,-8.88999699230057
c_z1θ1*,2.6058148498968734,-5.357458742483521
c_z1θ1*,2.1508071484016833,-3.406492379809696
c_z1θ1*,1.8361504074972446,-2.2555171943080605
c_z1z2*,4.757729971949662,-2.291662034423827
c_z1z2*,2.977844082772315,-1.100646313374636
c_z1z2*,2.191161392210842,-0.6752414490856689
c_z1z2*,1.6918037058003472,-0.32364490157315373
c_z1z2*,1.4046182167446777,-0.2778405319369013
c_z1z2*,1.1782391729420305,-0.15119880376721845
c_z1z2*,7.418267643039625,-5.346533288830668
c_z1z2*,4.6434110527280446,-2.364694601678194
c_z1z2*,3.3717516416503943,-1.2621561887898487
c_z1z2*,2.6388568817566864,-0.8330611211182352
c_z1z2*,2.1645440106683966,-0.5567600211856591
c_z1z2*,1.8455885243107961,-0.4284484433715978
c_z1z2*,4.846129451368933,-2.310453669320031
c_z1z2*,3.0606565873733484,-1.0341739537018757
c_z1z2*,2.185335439420927,-0.7239211653724074
c_z1z2*,1.7040704361520538,-0.3148256139929479
c_z1z2*,1.4425241800201187,-0.19130147864931685
c_z1z2*,1.1746428688409065,-0.2732101495234073
c_z1z2*,7.412739484231573,-4.877913286378964
c_z1z2*,4.623796367850915,-2.2066684257305846
c_z1z2*,3.3154992951322075,-1.4868980759054489
c_z1z2*,2.6348678216124215,-0.8146289184837798
c_z1z2*,2.1742080030610738,-0.6039474896948793
c_z1z2*,1.8438999950139934,-0.3823230661357109
c_z1θ2*,4.732002969278138,-8.753720483962308
c_z1θ2*,2.955575352881755,-3.558040351619807
c_z1θ2*,2.137409684361888,-1.7005108496579733
c_z1θ2*,1.6925220968165748,-0.7554803805726975
c_z1θ2*,1.4204703066287585,-0.5354269561435409
c_z1θ2*,1.2116463782519358,-0.3347836459681261
c_z1θ2*,7.434677078895841,-18.719674287426464
c_z1θ2*,4.6345115473948155,-9.469136204447793
c_z1θ2*,3.339825866659893,-4.455027843727639
c_z1θ2*,2.6489783581975734,-2.7828310696072482
c_z1θ2*,2.156428268626287,-1.6350533727492336
c_z1θ2*,1.8615106501882381,-1.218024243524662
c_z1θ2*,4.845342402530562,-9.513165194901742
c_z1θ2*,3.038976614443699,-3.5692263899791845
c_z1θ2*,2.214330257161414,-1.6301341348483513
c_z1θ2*,1.7339340952905813,-0.8873756709578768
c_z1θ2*,1.413314832730362,-0.5196990762834893
c_z1θ2*,1.1719318123143105,-0.33577328776305404
c_z1θ2*,7.421752170284992,-19.14222668364364
c_z1θ2*,4.618333567839716,-8.975594894173629
c_z1θ2*,3.3382921249543194,-4.685041758046845
c_z1θ2*,2.6065060718907214,-2.6902121255036855
c_z1θ2*,2.1653865023219607,-1.7249695865461578
